

----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "mainparams_primary".
datafile is
Albania_2000_STRUCTURE.txt
Reading file "extraparams_primary".
Reading file "Albania_2000_STRUCTURE.txt".


Data file "Albania_2000_STRUCTURE.txt" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1: CP00019943    2  : 93 170 150 120 100 110 120  . . . . 242
  1: CP00019943    2  : 93 230 160 130 110 140 130  . . . . 302
  2: CP00019945    2  : 60 190 180 130 120 140 132  . . . . 200
  2: CP00019945    2  : 93 200 180 140 120 180 150  . . . . 302
16800:    1.00    0.255    0.033      --  
16900:    1.00    0.187    0.024      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
17000:    1.00    0.188    0.028      --  
17100:    1.00    0.061    0.035      --  
17200:    1.00    0.093    0.035      --  
17300:    1.00    0.399    0.039      --  
17400:    1.00    0.188    0.033      --  
17500:    1.00    0.344    0.038      --  
17600:    1.00    0.408    0.033      --  
17700:    1.00    0.159    0.030      --  
17800:    1.00    0.139    0.030      --  
17900:    1.00    0.034    0.030      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
18000:    1.00    0.180    0.036      --  
18100:    1.00    0.157    0.034      --  
18200:    1.00    0.328    0.033      --  
18300:    1.00    0.599    0.032      --  
18400:    1.00    0.455    0.043      --  
18500:    1.00    0.594    0.031      --  
18600:    1.00    0.331    0.035      --  
18700:    1.00    0.616    0.040      --  
18800:    1.00    0.457    0.053      --  
18900:    1.00    0.078    0.040      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
19000:    1.00    0.045    0.030      --  
19100:    1.00    0.201    0.032      --  
19200:    1.00    0.300    0.029      --  
19300:    1.00    0.043    0.037      --  
19400:    1.00    0.590    0.048      --  
19500:    1.00    1.032    0.043      --  
19600:    1.00    1.053    0.035      --  
19700:    1.00    0.976    0.038      --  
19800:    1.00    1.195    0.039      --  
19900:    1.00    1.464    0.033      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
20000:    1.00    1.323    0.030      --  
20100:    1.00    1.470    0.042      --  
20200:    1.00    1.135    0.041      --  
20300:    1.00    0.894    0.032      --  
20400:    1.00    0.895    0.032      --  
20500:    1.00    1.246    0.031      --  
20600:    1.00    1.528    0.024      --  
20700:    1.00    1.478    0.030      --  
20800:    1.00    1.217    0.025      --  
20900:    1.00    0.778    0.024      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
21000:    1.00    0.484    0.028      --  
21100:    1.00    0.680    0.035      --  
21200:    1.00    0.562    0.033      --  
21300:    1.00    0.499    0.042      --  
21400:    1.00    0.613    0.034      --  
21500:    1.00    0.748    0.038      --  
21600:    1.00    0.346    0.024      --  
21700:    1.00    0.350    0.034      --  
21800:    1.00    0.115    0.031      --  
21900:    1.00    0.456    0.029      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
22000:    1.00    0.415    0.033      --  
22100:    1.00    0.536    0.036      --  
22200:    1.00    0.718    0.029      --  
22300:    1.00    0.992    0.031      --  
22400:    1.00    1.068    0.025      --  
22500:    1.00    1.571    0.028      --  
22600:    1.00    1.846    0.030      --  
22700:    1.00    1.542    0.030      --  
22800:    1.00    1.425    0.034      --  
22900:    1.00    1.678    0.027      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
23000:    1.00    1.588    0.022      --  
23100:    1.00    1.663    0.022      --  
23200:    1.00    1.779    0.027      --  
23300:    1.00    2.312    0.022      --  
23400:    1.00    2.507    0.018      --  
23500:    1.00    2.629    0.018      --  
23600:    1.00    2.889    0.027      --  
23700:    1.00    2.884    0.026      --  
23800:    1.00    3.092    0.021      --  
23900:    1.00    2.854    0.024      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
24000:    1.00    2.877    0.022      --  
24100:    1.00    3.000    0.029      --  
24200:    1.00    3.058    0.027      --  
24300:    1.00    2.590    0.031      --  
24400:    1.00    2.458    0.027      --  
24500:    1.00    2.570    0.034      --  
24600:    1.00    2.423    0.029      --  
24700:    1.00    2.416    0.029      --  
24800:    1.00    2.519    0.028      --  
24900:    1.00    2.473    0.031      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
25000:    1.00    2.156    0.026      --  
25100:    1.00    1.920    0.029      --  
25200:    1.00    1.682    0.025      --  
25300:    1.00    1.761    0.021      --  
25400:    1.00    2.169    0.027      --  
25500:    1.00    1.874    0.033      --  
25600:    1.00    1.742    0.032      --  
25700:    1.00    1.801    0.040      --  
25800:    1.00    1.836    0.031      --  
25900:    1.00    1.894    0.036      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
26000:    1.00    1.988    0.037      --  
26100:    1.00    1.841    0.037      --  
26200:    1.00    1.685    0.036      --  
26300:    1.00    1.694    0.039      --  
26400:    1.00    1.637    0.039      --  
26500:    1.00    1.389    0.034      --  
26600:    1.00    1.097    0.030      --  
26700:    1.00    1.137    0.026      --  
26800:    1.00    0.880    0.027      --  
26900:    1.00    0.701    0.027      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
27000:    1.00    0.561    0.027      --  
27100:    1.00    1.269    0.023      --  
27200:    1.00    1.112    0.020      --  
27300:    1.00    1.065    0.023      --  
27400:    1.00    1.100    0.029      --  
27500:    1.00    1.136    0.028      --  
27600:    1.00    0.639    0.021      --  
27700:    1.00    0.306    0.029      --  
27800:    1.00    0.738    0.030      --  
27900:    1.00    0.992    0.026      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
28000:    1.00    1.013    0.034      --  
28100:    1.00    0.589    0.026      --  
28200:    1.00    0.470    0.032      --  
28300:    1.00    0.441    0.031      --  
28400:    1.00    0.859    0.032      --  
28500:    1.00    0.836    0.030      --  
28600:    1.00    0.530    0.035      --  
28700:    1.00    0.032    0.027      --  
28800:    1.00    0.033    0.033      --  
28900:    1.00    0.610    0.036      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
29000:    1.00    0.888    0.028      --  
29100:    1.00    1.100    0.031      --  
29200:    1.00    1.259    0.025      --  
29300:    1.00    1.286    0.034      --  
29400:    1.00    1.556    0.041      --  
29500:    1.00    1.179    0.035      --  
29600:    1.00    1.309    0.038      --  
29700:    1.00    1.725    0.032      --  
29800:    1.00    1.516    0.034      --  
29900:    1.00    1.579    0.038      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
30000:    1.00    1.586    0.036      --  
30100:    1.00    1.793    0.034      --  
30200:    1.00    1.582    0.028      --  
30300:    1.00    1.551    0.021      --  
30400:    1.00    1.524    0.024      --  
30500:    1.00    1.476    0.020      --  
30600:    1.00    1.290    0.024      --  
30700:    1.00    1.424    0.022      --  
30800:    1.00    1.682    0.023      --  
30900:    1.00    1.697    0.030      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
31000:    1.00    1.484    0.030      --  
31100:    1.00    1.645    0.034      --  
31200:    1.00    1.604    0.033      --  
31300:    1.00    1.682    0.023      --  
31400:    1.00    1.836    0.033      --  
31500:    1.00    2.289    0.038      --  
31600:    1.00    2.429    0.031      --  
31700:    1.00    2.097    0.031      --  
31800:    1.00    1.810    0.031      --  
31900:    1.00    1.685    0.032      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
32000:    1.00    2.001    0.026      --  
32100:    1.00    2.228    0.038      --  
32200:    1.00    2.274    0.035      --  
32300:    1.00    2.399    0.033      --  
32400:    1.00    2.349    0.033      --  
32500:    1.00    1.875    0.033      --  
32600:    1.00    1.749    0.024      --  
32700:    1.00    1.963    0.024      --  
32800:    1.00    1.658    0.025      --  
32900:    1.00    1.314    0.025      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
33000:    1.00    1.048    0.030      --  
33100:    1.00    1.112    0.027      --  
33200:    1.00    1.144    0.036      --  
33300:    1.00    1.454    0.034      --  
33400:    1.00    1.476    0.031      --  
33500:    1.00    1.440    0.030      --  
33600:    1.00    1.308    0.028      --  
33700:    1.00    1.517    0.035      --  
33800:    1.00    1.665    0.040      --  
33900:    1.00    2.302    0.030      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
34000:    1.00    2.193    0.032      --  
34100:    1.00    2.278    0.033      --  
34200:    1.00    2.665    0.030      --  
34300:    1.00    2.548    0.029      --  
34400:    1.00    2.765    0.027      --  
34500:    1.00    2.896    0.036      --  
34600:    1.00    2.654    0.036      --  
34700:    1.00    2.527    0.035      --  
34800:    1.00    2.707    0.041      --  
34900:    1.00    3.035    0.035      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
35000:    1.00    2.882    0.033      --  
35100:    1.00    2.474    0.031      --  
35200:    1.00    2.235    0.029      --  
35300:    1.00    1.772    0.027      --  
35400:    1.00    1.590    0.032      --  
35500:    1.00    2.099    0.029      --  
35600:    1.00    1.613    0.032      --  
35700:    1.00    1.633    0.029      --  
35800:    1.00    1.961    0.027      --  
35900:    1.00    1.733    0.041      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
36000:    1.00    2.295    0.026      --  
36100:    1.00    2.286    0.034      --  
36200:    1.00    2.285    0.035      --  
36300:    1.00    2.426    0.034      --  
36400:    1.00    2.707    0.029      --  
36500:    1.00    2.941    0.040      --  
36600:    1.00    3.296    0.033      --  
36700:    1.00    3.518    0.029      --  
36800:    1.00    3.664    0.031      --  
36900:    1.00    3.637    0.026      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
37000:    1.00    3.390    0.036      --  
37100:    1.00    3.345    0.037      --  
37200:    1.00    3.170    0.028      --  
37300:    1.00    3.383    0.031      --  
37400:    1.00    3.730    0.030      --  
37500:    1.00    3.550    0.035      --  
37600:    1.00    3.904    0.028      --  
37700:    1.00    4.210    0.026      --  
37800:    1.00    4.496    0.020      --  
37900:    1.00    4.465    0.027      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
38000:    1.00    4.747    0.022      --  
38100:    1.00    4.393    0.021      --  
38200:    1.00    4.770    0.019      --  
38300:    1.00    4.821    0.020      --  
38400:    1.00    4.762    0.030      --  
38500:    1.00    4.506    0.024      --  
38600:    1.00    4.629    0.028      --  
38700:    1.00    4.540    0.030      --  
38800:    1.00    4.390    0.029      --  
38900:    1.00    4.712    0.029      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
39000:    1.00    4.510    0.032      --  
39100:    1.00    4.550    0.029      --  
39200:    1.00    4.339    0.031      --  
39300:    1.00    4.426    0.035      --  
39400:    1.00    4.432    0.028      --  
39500:    1.00    4.200    0.028      --  
39600:    1.00    4.170    0.030      --  
39700:    1.00    3.857    0.025      --  
39800:    1.00    3.877    0.030      --  
39900:    1.00    3.969    0.033      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
40000:    1.00    3.781    0.026      --  
40100:    1.00    3.434    0.023      --  
40200:    1.00    3.310    0.026      --  
40300:    1.00    3.173    0.031      --  
40400:    1.00    2.787    0.032      --  
40500:    1.00    3.029    0.029      --  
40600:    1.00    3.027    0.035      --  
40700:    1.00    3.076    0.036      --  
40800:    1.00    2.864    0.034      --  
40900:    1.00    2.389    0.038      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
41000:    1.00    2.247    0.031      --  
41100:    1.00    2.368    0.032      --  
41200:    1.00    2.809    0.031      --  
41300:    1.00    2.733    0.030      --  
41400:    1.00    2.653    0.032      --  
41500:    1.00    2.462    0.028      --  
41600:    1.00    2.450    0.033      --  
41700:    1.00    1.998    0.029      --  
41800:    1.00    1.798    0.040      --  
41900:    1.00    1.934    0.032      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
42000:    1.00    2.371    0.035      --  
42100:    1.00    2.270    0.034      --  
42200:    1.00    2.568    0.036      --  
42300:    1.00    2.313    0.028      --  
42400:    1.00    2.318    0.033      --  
42500:    1.00    1.918    0.040      --  
42600:    1.00    2.438    0.041      --  
42700:    1.00    2.883    0.035      --  
42800:    1.00    2.868    0.034      --  
42900:    1.00    3.123    0.027      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
43000:    1.00    2.920    0.026      --  
43100:    1.00    3.318    0.035      --  
43200:    1.00    3.010    0.027      --  
43300:    1.00    2.817    0.028      --  
43400:    1.00    2.906    0.030      --  
43500:    1.00    2.991    0.027      --  
43600:    1.00    3.087    0.022      --  
43700:    1.00    3.364    0.029      --  
43800:    1.00    3.479    0.031      --  
43900:    1.00    3.340    0.036      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
44000:    1.00    3.245    0.030      --  
44100:    1.00    3.065    0.037      --  
44200:    1.00    3.234    0.030      --  
44300:    1.00    2.899    0.030      --  
44400:    1.00    3.321    0.031      --  
44500:    1.00    3.657    0.029      --  
44600:    1.00    4.046    0.022      --  
44700:    1.00    3.962    0.022      --  
44800:    1.00    4.159    0.027      --  
44900:    1.00    4.280    0.029      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
45000:    1.00    3.978    0.033      --  
45100:    1.00    4.287    0.026      --  
45200:    1.00    4.558    0.025      --  
45300:    1.00    4.855    0.022      --  
45400:    1.00    4.909    0.025      --  
45500:    1.00    4.803    0.031      --  
45600:    1.00    4.651    0.029      --  
45700:    1.00    4.491    0.027      --  
45800:    1.00    4.170    0.030      --  
45900:    1.00    3.776    0.041      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
46000:    1.00    3.616    0.038      --  
46100:    1.00    3.251    0.032      --  
46200:    1.00    3.533    0.034      --  
46300:    1.00    3.407    0.035      --  
46400:    1.00    3.863    0.031      --  
46500:    1.00    3.592    0.036      --  
46600:    1.00    3.771    0.031      --  
46700:    1.00    3.377    0.032      --  
46800:    1.00    3.431    0.031      --  
46900:    1.00    3.482    0.027      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
47000:    1.00    3.311    0.033      --  
47100:    1.00    3.027    0.030      --  
47200:    1.00    2.923    0.028      --  
47300:    1.00    2.813    0.024      --  
47400:    1.00    2.990    0.021      --  
47500:    1.00    2.922    0.023      --  
47600:    1.00    2.878    0.025      --  
47700:    1.00    3.207    0.027      --  
47800:    1.00    3.225    0.018      --  
47900:    1.00    3.125    0.029      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
48000:    1.00    2.950    0.023      --  
48100:    1.00    2.664    0.027      --  
48200:    1.00    2.440    0.028      --  
48300:    1.00    2.128    0.033      --  
48400:    1.00    2.047    0.030      --  
48500:    1.00    1.751    0.024      --  
48600:    1.00    1.565    0.024      --  
48700:    1.00    1.558    0.022      --  
48800:    1.00    1.106    0.020      --  
48900:    1.00    1.002    0.025      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
49000:    1.00    0.869    0.036      --  
49100:    1.00    0.630    0.044      --  
49200:    1.00    0.813    0.035      --  
49300:    1.00    0.986    0.029      --  
49400:    1.00    0.828    0.028      --  
49500:    1.00    1.043    0.028      --  
49600:    1.00    0.845    0.035      --  
49700:    1.00    1.014    0.034      --  
49800:    1.00    0.952    0.036      --  
49900:    1.00    0.814    0.035      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
50000:    1.00    0.777    0.031      --  
50100:    1.00    0.477    0.036      --  
50200:    1.00    0.323    0.042      --  
50300:    1.00    0.116    0.029      --  
50400:    1.00    0.068    0.033      --  
50500:    1.00    0.174    0.042      --  
50600:    1.00    0.219    0.038      --  
50700:    1.00    0.000    0.037      --  
50800:    1.00    0.143    0.029      --  
50900:    1.00    0.364    0.030      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
51000:    1.00    0.122    0.031      --  
51100:    1.00    0.248    0.032      --  
51200:    1.00    0.266    0.031      --  
51300:    1.00    0.352    0.029      --  
51400:    1.00    0.175    0.031      --  
51500:    1.00    0.171    0.033      --  
51600:    1.00    0.553    0.026      --  
51700:    1.00    0.594    0.025      --  
51800:    1.00    0.693    0.029      --  
51900:    1.00    0.790    0.038      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
52000:    1.00    0.818    0.036      --  
52100:    1.00    0.841    0.028      --  
52200:    1.00    0.569    0.027      --  
52300:    1.00    0.972    0.027      --  
52400:    1.00    1.002    0.030      --  
52500:    1.00    1.314    0.034      --  
52600:    1.00    1.508    0.040      --  
52700:    1.00    1.538    0.025      --  
52800:    1.00    1.609    0.033      --  
52900:    1.00    1.735    0.036      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
53000:    1.00    1.716    0.033      --  
53100:    1.00    1.980    0.030      --  
53200:    1.00    1.758    0.030      --  
53300:    1.00    1.728    0.039      --  
53400:    1.00    2.062    0.039      --  
53500:    1.00    2.053    0.031      --  
53600:    1.00    1.861    0.029      --  
53700:    1.00    1.545    0.028      --  
53800:    1.00    2.197    0.034      --  
53900:    1.00    2.024    0.032      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
54000:    1.00    1.945    0.034      --  
54100:    1.00    1.844    0.034      --  
54200:    1.00    1.859    0.026      --  
54300:    1.00    1.821    0.035      --  
54400:    1.00    1.829    0.030      --  
54500:    1.00    1.773    0.035      --  
54600:    1.00    1.613    0.032      --  
54700:    1.00    1.895    0.029      --  
54800:    1.00    2.026    0.032      --  
54900:    1.00    2.374    0.034      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
55000:    1.00    2.291    0.026      --  
55100:    1.00    2.782    0.027      --  
55200:    1.00    2.647    0.029      --  
55300:    1.00    2.732    0.028      --  
55400:    1.00    2.934    0.037      --  
55500:    1.00    2.954    0.030      --  
55600:    1.00    2.982    0.032      --  
55700:    1.00    2.882    0.036      --  
55800:    1.00    3.055    0.039      --  
55900:    1.00    3.049    0.033      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
56000:    1.00    3.063    0.033      --  
56100:    1.00    3.283    0.033      --  
56200:    1.00    3.461    0.039      --  
56300:    1.00    3.248    0.034      --  
56400:    1.00    3.214    0.032      --  
56500:    1.00    2.888    0.033      --  
56600:    1.00    2.897    0.030      --  
56700:    1.00    2.970    0.028      --  
56800:    1.00    2.959    0.027      --  
56900:    1.00    2.924    0.025      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
57000:    1.00    3.101    0.034      --  
57100:    1.00    3.257    0.033      --  
57200:    1.00    3.302    0.029      --  
57300:    1.00    3.134    0.026      --  
57400:    1.00    3.304    0.027      --  
57500:    1.00    3.264    0.027      --  
57600:    1.00    3.160    0.023      --  
57700:    1.00    3.029    0.022      --  
57800:    1.00    3.015    0.028      --  
57900:    1.00    3.144    0.022      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
58000:    1.00    3.062    0.024      --  
58100:    1.00    3.097    0.037      --  
58200:    1.00    2.974    0.033      --  
58300:    1.00    2.963    0.031      --  
58400:    1.00    3.278    0.028      --  
58500:    1.00    3.445    0.036      --  
58600:    1.00    3.685    0.026      --  
58700:    1.00    3.843    0.028      --  
